...
| rollout/                |              |
|    time_elapsed         | 50042       |
|    total_timesteps      | 2808000     |
| train/                  |             |
|    approx_kl            | 0.008719019 |
|    clip_fraction        | 0.04        |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.16       |
|    explained_variance   | 0.00256     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 19490       |
|    policy_gradient_loss | -0.00575    |
|    std                  | 42.3        |
|    value_loss           | 1.23e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1950        |
|    time_elapsed         | 50042       |
|    total_timesteps      | 2808000     |
| train/                  |             |
|    approx_kl            | 0.008719019 |
|    clip_fraction        | 0.04        |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.16       |
|    explained_variance   | 0.00256     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 19490       |
|    policy_gradient_loss | -0.00575    |
|    std                  | 42.3        |
|    value_loss           | 1.23e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1951         |
|    time_elapsed         | 50042        |
|    total_timesteps      | 2809440      |
| train/                  |              |
|    approx_kl            | 0.0018342189 |
|    clip_fraction        | 0.00382      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | -0.0169      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19500        |
|    policy_gradient_loss | -0.00219     |
|    std                  | 42.4         |
|    value_loss           | 1.01e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1951         |
|    time_elapsed         | 50042        |
|    total_timesteps      | 2809440      |
| train/                  |              |
|    approx_kl            | 0.0018342189 |
|    clip_fraction        | 0.00382      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | -0.0169      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19500        |
|    policy_gradient_loss | -0.00219     |
|    std                  | 42.4         |
|    value_loss           | 1.01e-06     |
------------------------------------------
Eval num_timesteps=2810000, episode_reward=-0.28 +/- 0.00
Episode length: 409512.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 4.1e+05       |
|    mean_reward          | -0.279        |
| time/                   |               |
|    total_timesteps      | 2810000       |
| train/                  |               |
|    approx_kl            | 0.00025991214 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.17         |
|    explained_variance   | 0.00194       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.259        |
|    n_updates            | 19510         |
|    policy_gradient_loss | -0.000648     |
|    std                  | 42.5          |
|    value_loss           | 7.08e-07      |
-------------------------------------------
Eval num_timesteps=2810000, episode_reward=-0.28 +/- 0.00
Episode length: 409512.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 4.1e+05       |
|    mean_reward          | -0.279        |
| time/                   |               |
|    total_timesteps      | 2810000       |
| train/                  |               |
|    approx_kl            | 0.00025991214 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.17         |
|    explained_variance   | 0.00194       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.259        |
|    n_updates            | 19510         |
|    policy_gradient_loss | -0.000648     |
|    std                  | 42.5          |
|    value_loss           | 7.08e-07      |
-------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1952     |
|    time_elapsed    | 50230    |
|    total_timesteps | 2810880  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1952     |
|    time_elapsed    | 50230    |
|    total_timesteps | 2810880  |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 1953          |
|    time_elapsed         | 50230         |
|    total_timesteps      | 2812320       |
| train/                  |               |
|    approx_kl            | 0.00031902903 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.17         |
|    explained_variance   | 0.0451        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.259        |
|    n_updates            | 19520         |
|    policy_gradient_loss | -0.00097      |
|    std                  | 42.7          |
|    value_loss           | 5.19e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 1953          |
|    time_elapsed         | 50230         |
|    total_timesteps      | 2812320       |
| train/                  |               |
|    approx_kl            | 0.00031902903 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.17         |
|    explained_variance   | 0.0451        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.259        |
|    n_updates            | 19520         |
|    policy_gradient_loss | -0.00097      |
|    std                  | 42.7          |
|    value_loss           | 5.19e-07      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1954         |
|    time_elapsed         | 50230        |
|    total_timesteps      | 2813760      |
| train/                  |              |
|    approx_kl            | 0.0012737389 |
|    clip_fraction        | 0.00139      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.17        |
|    explained_variance   | 0.0175       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.26        |
|    n_updates            | 19530        |
|    policy_gradient_loss | -0.00216     |
|    std                  | 42.8         |
|    value_loss           | 1.89e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1954         |
|    time_elapsed         | 50230        |
|    total_timesteps      | 2813760      |
| train/                  |              |
|    approx_kl            | 0.0012737389 |
|    clip_fraction        | 0.00139      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.17        |
|    explained_variance   | 0.0175       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.26        |
|    n_updates            | 19530        |
|    policy_gradient_loss | -0.00216     |
|    std                  | 42.8         |
|    value_loss           | 1.89e-06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1955        |
|    time_elapsed         | 50230       |
|    total_timesteps      | 2815200     |
| train/                  |             |
|    approx_kl            | 0.004335415 |
|    clip_fraction        | 0.0156      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.17       |
|    explained_variance   | -0.0123     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 19540       |
|    policy_gradient_loss | -0.00368    |
|    std                  | 42.8        |
|    value_loss           | 1.26e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1955        |
|    time_elapsed         | 50230       |
|    total_timesteps      | 2815200     |
| train/                  |             |
|    approx_kl            | 0.004335415 |
|    clip_fraction        | 0.0156      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.17       |
|    explained_variance   | -0.0123     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 19540       |
|    policy_gradient_loss | -0.00368    |
|    std                  | 42.8        |
|    value_loss           | 1.26e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1956        |
|    time_elapsed         | 50231       |
|    total_timesteps      | 2816640     |
| train/                  |             |
|    approx_kl            | 0.004465075 |
|    clip_fraction        | 0.0101      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.17       |
|    explained_variance   | 0.0053      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.271      |
|    n_updates            | 19550       |
|    policy_gradient_loss | -0.00323    |
|    std                  | 42.8        |
|    value_loss           | 6.57e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1956        |
|    time_elapsed         | 50231       |
|    total_timesteps      | 2816640     |
| train/                  |             |
|    approx_kl            | 0.004465075 |
|    clip_fraction        | 0.0101      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.17       |
|    explained_variance   | 0.0053      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.271      |
|    n_updates            | 19550       |
|    policy_gradient_loss | -0.00323    |
|    std                  | 42.8        |
|    value_loss           | 6.57e-07    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1957          |
|    time_elapsed         | 50231         |
|    total_timesteps      | 2818080       |
| train/                  |               |
|    approx_kl            | 0.00028759116 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.18         |
|    explained_variance   | 0.0144        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.261        |
|    n_updates            | 19560         |
|    policy_gradient_loss | -0.000538     |
|    std                  | 42.9          |
|    value_loss           | 3.07e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1957          |
|    time_elapsed         | 50231         |
|    total_timesteps      | 2818080       |
| train/                  |               |
|    approx_kl            | 0.00028759116 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.18         |
|    explained_variance   | 0.0144        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.261        |
|    n_updates            | 19560         |
|    policy_gradient_loss | -0.000538     |
|    std                  | 42.9          |
|    value_loss           | 3.07e-06      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1958         |
|    time_elapsed         | 50231        |
|    total_timesteps      | 2819520      |
| train/                  |              |
|    approx_kl            | 0.0003450707 |
|    clip_fraction        | 0            |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | 0.00712      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19570        |
|    policy_gradient_loss | -0.000501    |
|    std                  | 42.9         |
|    value_loss           | 3e-06        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1958         |
|    time_elapsed         | 50231        |
|    total_timesteps      | 2819520      |
| train/                  |              |
|    approx_kl            | 0.0003450707 |
|    clip_fraction        | 0            |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | 0.00712      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19570        |
|    policy_gradient_loss | -0.000501    |
|    std                  | 42.9         |
|    value_loss           | 3e-06        |
------------------------------------------
Eval num_timesteps=2820000, episode_reward=-0.41 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.415       |
| time/                   |              |
|    total_timesteps      | 2820000      |
| train/                  |              |
|    approx_kl            | 0.0012637342 |
|    clip_fraction        | 0.00514      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | 0.00186      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19580        |
|    policy_gradient_loss | -0.00137     |
|    std                  | 43           |
|    value_loss           | 1.65e-06     |
------------------------------------------
Eval num_timesteps=2820000, episode_reward=-0.41 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.415       |
| time/                   |              |
|    total_timesteps      | 2820000      |
| train/                  |              |
|    approx_kl            | 0.0012637342 |
|    clip_fraction        | 0.00514      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | 0.00186      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19580        |
|    policy_gradient_loss | -0.00137     |
|    std                  | 43           |
|    value_loss           | 1.65e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1959     |
|    time_elapsed    | 50411    |
|    total_timesteps | 2820960  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1959     |
|    time_elapsed    | 50411    |
|    total_timesteps | 2820960  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1960         |
|    time_elapsed         | 50411        |
|    total_timesteps      | 2822400      |
| train/                  |              |
|    approx_kl            | 0.0021000297 |
|    clip_fraction        | 0.00479      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | -0.00366     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19590        |
|    policy_gradient_loss | -0.00108     |
|    std                  | 43.1         |
|    value_loss           | 1.93e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1960         |
|    time_elapsed         | 50411        |
|    total_timesteps      | 2822400      |
| train/                  |              |
|    approx_kl            | 0.0021000297 |
|    clip_fraction        | 0.00479      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | -0.00366     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19590        |
|    policy_gradient_loss | -0.00108     |
|    std                  | 43.1         |
|    value_loss           | 1.93e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1961         |
|    time_elapsed         | 50411        |
|    total_timesteps      | 2823840      |
| train/                  |              |
|    approx_kl            | 0.0027816454 |
|    clip_fraction        | 0.00757      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | -0.00165     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.267       |
|    n_updates            | 19600        |
|    policy_gradient_loss | -0.00231     |
|    std                  | 43.2         |
|    value_loss           | 2.1e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1961         |
|    time_elapsed         | 50411        |
|    total_timesteps      | 2823840      |
| train/                  |              |
|    approx_kl            | 0.0027816454 |
|    clip_fraction        | 0.00757      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.18        |
|    explained_variance   | -0.00165     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.267       |
|    n_updates            | 19600        |
|    policy_gradient_loss | -0.00231     |
|    std                  | 43.2         |
|    value_loss           | 2.1e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1962         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2825280      |
| train/                  |              |
|    approx_kl            | 0.0010091215 |
|    clip_fraction        | 0.00125      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.00627      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19610        |
|    policy_gradient_loss | -0.00216     |
|    std                  | 43.3         |
|    value_loss           | 3.64e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1962         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2825280      |
| train/                  |              |
|    approx_kl            | 0.0010091215 |
|    clip_fraction        | 0.00125      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.00627      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19610        |
|    policy_gradient_loss | -0.00216     |
|    std                  | 43.3         |
|    value_loss           | 3.64e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1963         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2826720      |
| train/                  |              |
|    approx_kl            | 0.0031920453 |
|    clip_fraction        | 0.00771      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.0206       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.263       |
|    n_updates            | 19620        |
|    policy_gradient_loss | -0.00213     |
|    std                  | 43.5         |
|    value_loss           | 1.72e-05     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1963         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2826720      |
| train/                  |              |
|    approx_kl            | 0.0031920453 |
|    clip_fraction        | 0.00771      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.0206       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.263       |
|    n_updates            | 19620        |
|    policy_gradient_loss | -0.00213     |
|    std                  | 43.5         |
|    value_loss           | 1.72e-05     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1964          |
|    time_elapsed         | 50412         |
|    total_timesteps      | 2828160       |
| train/                  |               |
|    approx_kl            | 0.00031453453 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.19         |
|    explained_variance   | 0.0625        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.263        |
|    n_updates            | 19630         |
|    policy_gradient_loss | -0.000913     |
|    std                  | 43.5          |
|    value_loss           | 5.56e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1964          |
|    time_elapsed         | 50412         |
|    total_timesteps      | 2828160       |
| train/                  |               |
|    approx_kl            | 0.00031453453 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.19         |
|    explained_variance   | 0.0625        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.263        |
|    n_updates            | 19630         |
|    policy_gradient_loss | -0.000913     |
|    std                  | 43.5          |
|    value_loss           | 5.56e-06      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1965         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2829600      |
| train/                  |              |
|    approx_kl            | 0.0010536392 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.0807       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19640        |
|    policy_gradient_loss | -0.00116     |
|    std                  | 43.6         |
|    value_loss           | 2.76e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1965         |
|    time_elapsed         | 50412        |
|    total_timesteps      | 2829600      |
| train/                  |              |
|    approx_kl            | 0.0010536392 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.0807       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.262       |
|    n_updates            | 19640        |
|    policy_gradient_loss | -0.00116     |
|    std                  | 43.6         |
|    value_loss           | 2.76e-06     |
------------------------------------------
Eval num_timesteps=2830000, episode_reward=-0.36 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.359      |
| time/                   |             |
|    total_timesteps      | 2830000     |
| train/                  |             |
|    approx_kl            | 0.003632879 |
|    clip_fraction        | 0.00785     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.19       |
|    explained_variance   | 0.12        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.267      |
|    n_updates            | 19650       |
|    policy_gradient_loss | -0.0028     |
|    std                  | 43.6        |
|    value_loss           | 9.29e-07    |
-----------------------------------------
Eval num_timesteps=2830000, episode_reward=-0.36 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.359      |
| time/                   |             |
|    total_timesteps      | 2830000     |
| train/                  |             |
|    approx_kl            | 0.003632879 |
|    clip_fraction        | 0.00785     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.19       |
|    explained_variance   | 0.12        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.267      |
|    n_updates            | 19650       |
|    policy_gradient_loss | -0.0028     |
|    std                  | 43.6        |
|    value_loss           | 9.29e-07    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1966     |
|    time_elapsed    | 50591    |
|    total_timesteps | 2831040  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1966     |
|    time_elapsed    | 50591    |
|    total_timesteps | 2831040  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1967         |
|    time_elapsed         | 50591        |
|    total_timesteps      | 2832480      |
| train/                  |              |
|    approx_kl            | 0.0008919823 |
|    clip_fraction        | 0.0025       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.144        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19660        |
|    policy_gradient_loss | -0.0013      |
|    std                  | 43.6         |
|    value_loss           | 1.21e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1967         |
|    time_elapsed         | 50591        |
|    total_timesteps      | 2832480      |
| train/                  |              |
|    approx_kl            | 0.0008919823 |
|    clip_fraction        | 0.0025       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.19        |
|    explained_variance   | 0.144        |
|    learning_rate        | 0.0001       |
